                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1607,                 4.3614,                 1.6494,                0.49064,                  0.625,                0.50131,                0.14827,                 2.1113,                 2.3588,                 1.5998,                 0.0001,                 0.0001,                 0.0001
                      2,                 1.9106,                 1.9089,                 1.4677,                0.66909,                0.50591,                0.55413,                0.28104,                 1.9836,                 1.8636,                 1.3499,             0.00021782,             0.00021782,             0.00021782
                      3,                  1.697,                 1.3836,                 1.3452,                0.40424,                  0.375,                0.37314,                0.18191,                 2.0462,                 2.8232,                 1.4501,             0.00033327,             0.00033327,             0.00033327
                      4,                 1.7055,                 1.2049,                 1.3093,                0.64335,                0.67698,                0.62184,                0.24937,                 2.0675,                 4.3049,                 1.5935,             0.00044634,             0.00044634,             0.00044634
                      5,                 1.7164,                 1.2259,                 1.2367,                0.12425,                 0.6875,                 0.1935,                0.05551,                  2.256,                 6.5044,                 1.7753,             0.00055703,             0.00055703,             0.00055703
                      6,                 1.7679,                 1.1986,                 1.3871,                0.28185,                 0.4375,                0.17051,                0.07014,                  2.327,                 5.6015,                 1.8729,             0.00066535,             0.00066535,             0.00066535
                      7,                  1.745,                 1.2308,                 1.4096,                0.89739,                0.54782,                0.61301,                0.30772,                 1.9781,                 2.4619,                 1.5895,             0.00077129,             0.00077129,             0.00077129
                      8,                 1.5564,                0.94905,                 1.3135,                0.43443,                  0.625,                0.39148,                 0.1351,                 1.9587,                 4.4501,                 1.6637,             0.00087486,             0.00087486,             0.00087486
                      9,                  1.743,                 1.1174,                 1.3136,                0.67016,                   0.75,                0.64367,                 0.2331,                 2.0441,                 3.8386,                 1.7939,             0.00097605,             0.00097605,             0.00097605
                     10,                 1.7727,                 1.0537,                 1.3522,                0.59597,                0.36933,                0.33705,                0.16697,                 1.9894,                 3.7357,                 1.9995,              0.0010749,              0.0010749,              0.0010749
                     11,                 1.7321,                 1.4748,                 1.2727,                0.04403,                 0.5625,                0.03488,                 0.0115,                 2.1247,                 66.559,                 1.7609,              0.0011713,              0.0011713,              0.0011713
                     12,                 1.7005,                 1.3944,                 1.5022,                0.00082,                 0.0625,                0.00032,                  9e-05,                 4.1407,                 145.44,                 8.4272,              0.0012654,              0.0012654,              0.0012654
                     13,                 1.9675,                 2.1009,                 1.5049,                0.00608,                 0.1875,                0.00299,                0.00096,                 2.8131,                 67.847,                 3.3506,               0.001357,               0.001357,               0.001357
                     14,                 1.8156,                 1.6972,                 1.5991,                 0.0034,                 0.0625,                0.00051,                0.00016,                 4.8511,                 537.96,                 12.707,              0.0014464,              0.0014464,              0.0014464
                     15,                 1.8116,                 1.3705,                 1.3349,                 0.0034,                 0.0625,                0.00051,                0.00016,                 4.8511,                 537.96,                 12.707,              0.0015333,              0.0015333,              0.0015333
                     16,                 1.4523,                 1.2233,                  1.161,                0.00167,                 0.1875,                0.00107,                0.00036,                    nan,                    nan,                    nan,              0.0016179,              0.0016179,              0.0016179
                     17,                 1.7171,                  1.232,                 1.3707,                0.00056,                 0.0625,                0.00037,                  7e-05,                    nan,                    nan,                    nan,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.7311,                 1.6484,                 1.5118,                0.00056,                 0.0625,                0.00037,                  7e-05,                    nan,                    nan,                    nan,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.6795,                 1.5445,                  1.401,                0.00056,                 0.0625,                0.00037,                  7e-05,                    nan,                    nan,                    nan,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.7611,                  1.428,                 1.5359,                0.00056,                 0.0625,                0.00037,                  7e-05,                    nan,                    nan,                    nan,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.7115,                 1.3437,                 1.4806,                0.00056,                 0.0625,                0.00037,                  7e-05,                    nan,                    nan,                    nan,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.6746,                 1.4285,                 1.5027,                0.00056,                 0.0625,                0.00037,                  7e-05,                    nan,                    nan,                    nan,               0.001604,               0.001604,               0.001604
                     23,                 1.8524,                 1.4401,                  1.689,                0.00056,                 0.0625,                0.00037,                  7e-05,                    nan,                    nan,                    nan,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.8381,                 1.1144,                 1.3927,                0.00264,                  0.125,                0.00346,                 0.0006,                    nan,                    nan,                    nan,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.7293,                 1.1647,                 1.6444,                0.00378,                  0.125,                0.00887,                0.00195,                    nan,                    nan,                    nan,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.8211,                 1.2118,                 1.5684,                0.45128,                 0.1875,                0.15322,                0.05185,                 2.4798,                 2.6351,                 1.7203,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.9072,                 1.2558,                 1.5436,                0.45128,                 0.1875,                0.15322,                0.05185,                 2.4798,                 2.6351,                 1.7203,               0.001505,               0.001505,               0.001505
                     28,                 1.7291,                 1.0986,                 1.3556,                0.63207,                   0.25,                0.24645,                0.10075,                    nan,                    nan,                    nan,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.7382,                 1.0373,                 1.3881,                0.22653,                   0.25,                0.07263,                0.02776,                   2.63,                 8.1959,                 1.8597,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.7099,                 1.1541,                 1.5238,                0.00065,                 0.0625,                0.00084,                0.00017,                 4.5454,                 26.039,                 3.5431,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.8184,                 1.0449,                 1.5502,                0.00065,                 0.0625,                0.00084,                0.00017,                 4.5454,                 26.039,                 3.5431,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.7317,                  1.137,                 1.4621,                0.00065,                 0.0625,                0.00084,                0.00017,                      0,                    nan,                      0,               0.001406,               0.001406,               0.001406
                     33,                  1.748,                 1.0428,                 1.5206,                0.00065,                 0.0625,                0.00084,                0.00017,                      0,                0.72852,                      0,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.8132,                0.99306,                 1.4618,                0.00065,                 0.0625,                0.00084,                0.00017,                0.64974,                 6.0664,                0.32667,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.5454,                 1.0296,                 1.3728,                0.00065,                 0.0625,                0.00084,                0.00017,                0.64974,                 6.0664,                0.32667,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.7826,                  1.024,                 1.4654,                0.88041,                 0.0625,                0.07086,                0.04771,                   2.67,                 3.0201,                 2.6138,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.3203,                 2.6608,                 1.1508,                0.88041,                 0.0625,                0.07086,                0.04771,                 3.0831,                 5.8823,                 3.7348,               0.001307,               0.001307,               0.001307
                     38,                 1.6265,                0.95202,                 1.4595,                 0.7962,                 0.0625,                0.06803,                0.02041,                 4.7247,                 5.2147,                  3.661,              0.0012872,              0.0012872,              0.0012872
